starID,regionName,System Name,Star,power
40046442,Insmother,KD-KPR,Sun K5 (Orange Bright),620
40046527,Insmother,PT-21C,Sun G5 (Yellow),680
40046628,Insmother,Z182-R,Sun M0 (Orange radiant),500
40046700,Insmother,EKPB-3,Sun M0 (Orange radiant),500
40046782,Insmother,5M2-KP,Sun O1 (Bright Blue),1000
40046871,Insmother,TK-DLH,Sun K5 (Orange Bright),620
40046916,Insmother,C8H5-X,Sun G3 (Pink Small),740
40046944,Insmother,O-7LAI,Sun G5 (Yellow),680
40046996,Insmother,7L3-JS,Sun K7 (Orange),550
40047077,Insmother,WF4C-8,Sun K5 (Red Giant),580
40047144,Insmother,TZN-2V,Sun G5 (Yellow),680
40047161,Insmother,8EF-58,Sun A0 (Blue Small),850
40047224,Insmother,4DS-OI,Sun K3 (Yellow Small),650
40047263,Insmother,XQP-9C,Sun G5 (Yellow),680
40047279,Insmother,W-6GBI,Sun F0 (White),780
40047323,Insmother,XKH-6O,Sun K7 (Orange),550
40047395,Insmother,S0U-MO,Sun G3 (Pink Small),740
40047424,Insmother,F39H-1,Sun G5 (Pink),700
40047488,Insmother,V-QXXK,Sun K3 (Yellow Small),650
40047567,Insmother,2-Q4YG,Sun K5 (Red Giant),580
40047639,Insmother,2JT-3Q,Sun M0 (Orange radiant),500
40047696,Insmother,I3CR-F,Sun G5 (Yellow),680
40047778,Insmother,7-JT09,Sun M0 (Orange radiant),500
40047844,Insmother,AGCP-I,Sun G5 (Pink),700
40047907,Insmother,M4-GJ6,Sun G5 (Pink),700
40047972,Insmother,5-2PQU,Sun K7 (Orange),550
40048092,Insmother,SN9-3Z,Sun G5 (Pink),700
40048149,Insmother,6BJH-3,Sun K3 (Yellow Small),650
40048196,Insmother,U-UTU9,Sun G5 (Yellow),680
40048294,Insmother,1TG7-W,Sun K5 (Orange Bright),620
40048383,Insmother,QYD-WK,Sun K5 (Orange Bright),620
40048452,Insmother,R959-U,Sun K5 (Orange Bright),620
40048500,Insmother,A-TJ0G,Sun K7 (Orange),550
40048584,Insmother,88A-RA,Sun K7 (Orange),550
40048673,Insmother,8G-2FP,Sun K5 (Red Giant),580
40048707,Insmother,C-J6MT,Sun G5 (Pink),700
40048741,Insmother,78-0R6,Sun M0 (Orange radiant),500
40048790,Insmother,MSG-BZ,Sun B0 (Blue),900
40048874,Insmother,8-WYQZ,Sun K7 (Orange),550
40048940,Insmother,4M-QXK,Sun M0 (Orange radiant),500
40049031,Insmother,X5-0EM,Sun K7 (Orange),550
40049101,Insmother,G-EURJ,Sun A0 (Blue Small),850
40049123,Insmother,SHBF-V,Sun A0 (Blue Small),850
40049179,Insmother,RERZ-L,Sun K3 (Yellow Small),650
40049190,Insmother,0UBC-R,Sun K5 (Orange Bright),620
40049277,Insmother,3U-48K,Sun K3 (Yellow Small),650
40049345,Insmother,EFM-C4,Sun M0 (Orange radiant),500
40049441,Insmother,YPW-M4,Sun G5 (Yellow),680
40049549,Insmother,Q7-FZ8,Sun B5 (White Dwarf),820
40049635,Insmother,L5-UWT,Sun M0 (Orange radiant),500
40049693,Insmother,74-VZA,Sun M0 (Orange radiant),500
40049757,Insmother,I-1QKL,Sun G5 (Yellow),680
40049793,Insmother,GK5Z-T,Sun G5 (Yellow),680
40049815,Insmother,RQN-OO,Sun K5 (Orange Bright),620
40049884,Insmother,67Y-NR,Sun K5 (Red Giant),580
40049961,Insmother,GDHN-K,Sun M0 (Orange radiant),500
40050015,Insmother,QTME-D,Sun K3 (Yellow Small),650
40050079,Insmother,A24L-V,Sun K7 (Orange),550
40050175,Insmother,4CJ-AC,Sun K5 (Red Giant),580
40050248,Insmother,EUU-4N,Sun G5 (Yellow),680
40050356,Insmother,Q-3HS5,Sun G5 (Pink),700
40050414,Insmother,3AE-CP,Sun G5 (Pink),700
40050525,Insmother,0-VG7A,Sun K3 (Yellow Small),650
40050563,Insmother,9OLQ-6,Sun M0 (Orange radiant),500
40050627,Insmother,MOCW-2,Sun G3 (Pink Small),740
40050640,Insmother,ZO-4AR,Sun K5 (Red Giant),580
40050690,Insmother,MJ-LGH,Sun K3 (Yellow Small),650
40050798,Insmother,F2A-GX,Sun M0 (Orange radiant),500
40050872,Insmother,RD-FWY,Sun K5 (Red Giant),580
40050943,Insmother,VBPT-T,Sun B0 (Blue),900
40051062,Insmother,KS-1TS,Sun K5 (Red Giant),580
40051103,Insmother,X0-6LH,Sun K5 (Orange Bright),620
40051185,Insmother,FN0-QS,Sun K3 (Yellow Small),650
40051244,Insmother,F3-8X2,Sun K7 (Orange),550
40051312,Insmother,N7-BIY,Sun M0 (Orange radiant),500
40051359,Insmother,TTP-2B,Sun G3 (Pink Small),740
40051471,Insmother,LVL-GZ,Sun O1 (Bright Blue),1000
40051542,Insmother,EJ48-O,Sun G5 (Yellow),680
40051617,Insmother,ROJ-B0,Sun K5 (Orange Bright),620
40051661,Insmother,DFH-V5,Sun K5 (Orange Bright),620
40051782,Insmother,B-II34,Sun K7 (Orange),550
40051819,Insmother,4LB-EL,Sun K3 (Yellow Small),650
40051885,Insmother,UDE-FX,Sun K5 (Orange Bright),620
40051961,Insmother,5IH-GL,Sun A0 (Blue Small),850
40052059,Insmother,C1G-XC,Sun G5 (Yellow),680
40052106,Insmother,04-EHC,Sun K5 (Orange Bright),620
40052157,Insmother,3-0FYP,Sun F0 (White),780
40052209,Insmother,N-O53U,Sun K3 (Yellow Small),650
40052292,Insmother,HZ-O18,Sun G3 (Pink Small),740
40052308,Insmother,D-P1EH,Sun B5 (White Dwarf),820
40052374,Insmother,74L2-U,Sun M0 (Orange radiant),500
40052433,Insmother,HL-VZX,Sun K3 (Yellow Small),650
40052457,Insmother,38NZ-1,Sun B5 (White Dwarf),820
40052538,Insmother,W-MF6J,Sun F0 (White),780
40052597,Insmother,O-9G5Y,Sun G5 (Yellow),680
40052658,Insmother,27-HP0,Sun B0 (Blue),900
40052683,Insmother,X1-IZ0,Sun F0 (White),780
40052744,Insmother,RZ-TI6,Sun M0 (Orange radiant),500
40052811,Insmother,FX4L-2,Sun B5 (White Dwarf),820
40052873,Insmother,1ZF-PJ,Sun K5 (Orange Bright),620
40052906,Insmother,HFC-AQ,Sun M0 (Orange radiant),500
40052959,Insmother,0-6VZ5,Sun G3 (Pink Small),740
40053105,Insmother,GB-6X5,Sun K7 (Orange),550
40053207,Insmother,7EX-14,Sun G5 (Yellow),680
40053296,Insmother,N7-KGJ,Sun K5 (Orange Bright),620
40053367,Insmother,VD-8QY,Sun A0 (Blue Small),850
40053400,Insmother,J-ZYSZ,Sun K7 (Orange),550
40053505,Insmother,5C-RPA,Sun K5 (Orange Bright),620
40053542,Insmother,CR2-PQ,Sun K5 (Red Giant),580
40053569,Tribute,E-OGL4,Sun G5 (Pink),700
40053674,Tribute,J-GAMP,Sun K5 (Red Giant),580
40053706,Tribute,M-OEE8,Sun G3 (Pink Small),740
40053802,Tribute,V0DF-2,Sun O1 (Bright Blue),1000
40053877,Tribute,FY0W-N,Sun G5 (Pink),700
40053980,Tribute,MJI3-8,Sun G3 (Pink Small),740
40054040,Tribute,A-DDGY,Sun K7 (Orange),550
40054122,Tribute,F-RT6Q,Sun G5 (Pink),700
40054178,Tribute,B-S42H,Sun K3 (Yellow Small),650
40054247,Tribute,NL6V-7,Sun G3 (Pink Small),740
40054329,Tribute,F-749O,Sun A0 (Blue Small),850
40054421,Tribute,0-YMBJ,Sun K7 (Orange),550
40054543,Tribute,UMI-KK,Sun G3 (Pink Small),740
40054640,Tribute,GKP-YT,Sun G5 (Yellow),680
40054697,Tribute,AW1-2I,Sun G3 (Pink Small),740
40054763,Tribute,15W-GC,Sun M0 (Orange radiant),500
40054854,Tribute,N-FK87,Sun M0 (Orange radiant),500
40054902,Tribute,C2X-M5,Sun M0 (Orange radiant),500
40054975,Tribute,MSHD-4,Sun M0 (Orange radiant),500
40055035,Tribute,H-W9TY,Sun K7 (Orange),550
40055153,Tribute,PNDN-V,Sun A0 (Blue Small),850
40055251,Tribute,D7-ZAC,Sun K7 (Orange),550
40055301,Tribute,SH1-6P,Sun O1 (Bright Blue),1000
40055370,Tribute,TRKN-L,Sun G3 (Pink Small),740
40055464,Tribute,O-0ERG,Sun G5 (Pink),700
40055516,Tribute,WH-JCA,Sun K5 (Red Giant),580
40055635,Tribute,Q-CAB2,Sun G5 (Yellow),680
40055738,Tribute,PBD-0G,Sun G5 (Pink),700
40055807,Tribute,L-1HKR,Sun B0 (Blue),900
40055861,Tribute,9GI-FB,Sun K5 (Red Giant),580
40055913,Tribute,3G-LHB,Sun K3 (Yellow Small),650
40055981,Tribute,DBT-GB,Sun K7 (Orange),550
40056084,Tribute,U-W3WS,Sun G3 (Pink Small),740
40056133,Tribute,DL1C-E,Sun G5 (Pink),700
40056179,Tribute,YLS8-J,Sun B5 (White Dwarf),820
40056229,Tribute,2ISU-Y,Sun K7 (Orange),550
40056316,Tribute,X-CFN6,Sun K5 (Orange Bright),620
40056371,Tribute,9SL-K9,Sun B0 (Blue),900
40056443,Tribute,Y-PZHM,Sun M0 (Orange radiant),500
40056534,Tribute,OY-UZ1,Sun G5 (Pink),700
40056590,Tribute,S8-NSQ,Sun B0 (Blue),900
40056614,Tribute,GIH-ZG,Sun A0 (Blue Small),850
40056684,Tribute,V7-FB4,Sun G5 (Pink),700
40056756,Tribute,XD-TOV,Sun G5 (Yellow),680
40056857,Tribute,K-6SNI,Sun M0 (Orange radiant),500
40056935,Tribute,L-VXTK,Sun K5 (Orange Bright),620
40056962,Tribute,C8VC-S,Sun G5 (Pink),700
40056983,Tribute,W-UQA5,Sun K3 (Yellow Small),650
40057040,Tribute,W6VP-Y,Sun G5 (Pink),700
40057143,Tribute,IMK-K1,Sun M0 (Orange radiant),500
40057213,Tribute,NJ4X-S,Sun K7 (Orange),550
40057312,Tribute,F-G7BO,Sun G5 (Yellow),680
40057369,Tribute,2CG-5V,Sun F0 (White),780
40057396,Tribute,QFF-O6,Sun A0 (Blue Small),850
40066879,Malpais,TD-4XL,Sun G5 (Yellow),680
40066907,Malpais,IBOX-2,Sun M0 (Orange radiant),500
40067016,Malpais,8AB-Q4,Sun G5 (Yellow),680
40067107,Malpais,VW-PXL,Sun K7 (Orange),550
40067197,Malpais,JA-G0T,Sun M0 (Orange radiant),500
40067265,Malpais,IF-KD1,Sun G5 (Pink),700
40067284,Malpais,7-YHRX,Sun K3 (Yellow Small),650
40067345,Malpais,Y6-9LF,Sun M0 (Orange radiant),500
40067460,Malpais,X-PQEX,Sun F0 (White),780
40067526,Malpais,N-H95C,Sun K3 (Yellow Small),650
40067554,Malpais,NSI-MW,Sun G5 (Yellow),680
40067637,Malpais,N-YLOE,Sun K5 (Orange Bright),620
40067692,Malpais,NBO-O0,Sun K7 (Orange),550
40067734,Malpais,F-TQWO,Sun K5 (Orange Bright),620
40067755,Malpais,0-TRV1,Sun B5 (White Dwarf),820
40067858,Malpais,13-49W,Sun B5 (White Dwarf),820
40067915,Malpais,6UT-1K,Sun G5 (Yellow),680
40067960,Malpais,O8W-5O,Sun G5 (Yellow),680
40068076,Malpais,LH-PLU,Sun G5 (Pink),700
40068160,Malpais,AZA-QE,Sun B0 (Blue),900
40068253,Malpais,8-2JZA,Sun G5 (Yellow),680
40068354,Malpais,ZT-L3S,Sun K5 (Red Giant),580
40068411,Malpais,VVB-QH,Sun M0 (Orange radiant),500
40068490,Malpais,Z-DDVJ,Sun K5 (Orange Bright),620
40068552,Malpais,7-2Z93,Sun K5 (Orange Bright),620
40068598,Malpais,B-VFDD,Sun K7 (Orange),550
40068735,Malpais,A0M-R8,Sun G5 (Pink),700
40068780,Malpais,LY-WRW,Sun B5 (White Dwarf),820
40068874,Malpais,9F-ERQ,Sun G3 (Pink Small),740
40068930,Malpais,QCGG-Q,Sun G5 (Yellow),680
40069018,Malpais,1NZV-7,Sun K5 (Orange Bright),620
40069067,Malpais,NIM-FY,Sun G5 (Yellow),680
40069125,Malpais,DAI-SH,Sun K7 (Orange),550
40069215,Malpais,V3P-AZ,Sun K5 (Orange Bright),620
40069257,Malpais,C-KW6X,Sun G5 (Pink),700
40069327,Malpais,X1W-AL,Sun G5 (Pink),700
40069390,Malpais,F-WZYG,Sun G5 (Pink),700
40069491,Malpais,S-R9J2,Sun G5 (Yellow),680
40069574,Malpais,XU-BF8,Sun K3 (Yellow Small),650
40069606,Malpais,RIU-GC,Sun G5 (Pink),700
40069639,Malpais,Z0H2-4,Sun K7 (Orange),550
40069676,Malpais,63-7Q6,Sun K7 (Orange),550
40069740,Malpais,XCZ5-Y,Sun K5 (Red Giant),580
40069804,Malpais,NRD-5Q,Sun K3 (Yellow Small),650
40069835,Malpais,W5-205,Sun K7 (Orange),550
40069888,Malpais,T-4H0B,Sun K5 (Orange Bright),620
40069948,Malpais,Z-EKCY,Sun K3 (Yellow Small),650
40069967,Malpais,SH-YZY,Sun B5 (White Dwarf),820
40069993,Malpais,O7-RFZ,Sun M0 (Orange radiant),500
40070035,Malpais,CLW-SI,Sun G3 (Pink Small),740
40070066,Malpais,5-A0PX,Sun K5 (Red Giant),580
40070138,Malpais,R-RMDH,Sun O1 (Bright Blue),1000
40070210,Malpais,2XI8-Y,Sun K3 (Yellow Small),650
40070258,Malpais,5B-YDD,Sun K5 (Red Giant),580
40070306,Malpais,W-XY4J,Sun K5 (Orange Bright),620
40070411,Malpais,PWPY-4,Sun G5 (Pink),700
40070448,Malpais,QZ1-OH,Sun K7 (Orange),550
40070548,Malpais,Y-XZA7,Sun G5 (Pink),700
40070577,Malpais,1-EVAX,Sun K5 (Orange Bright),620
40070677,Malpais,I8-AJY,Sun K5 (Red Giant),580
40070770,Malpais,6-WMKE,Sun K5 (Orange Bright),620
40070797,Malpais,J-Z8C2,Sun K5 (Red Giant),580
40070817,Malpais,XTVZ-E,Sun M0 (Orange radiant),500
40070876,Malpais,APES-G,Sun G5 (Pink),700
40070923,Malpais,B2J-5N,Sun G5 (Pink),700
40070999,Malpais,2Z-HPQ,Sun B5 (White Dwarf),820
40071064,Malpais,NBW-GD,Sun K5 (Red Giant),580
40071139,Malpais,YM-SRU,Sun K3 (Yellow Small),650
40071166,Malpais,LO5-LN,Sun M0 (Orange radiant),500
40071239,Malpais,06-70G,Sun K7 (Orange),550
40071350,Malpais,UYG-YX,Sun K3 (Yellow Small),650
40071448,Malpais,GL6S-2,Sun M0 (Orange radiant),500
40071524,Malpais,RUF3-O,Sun K5 (Red Giant),580
40071597,Malpais,C-NMG9,Sun K7 (Orange),550
40071654,Malpais,P3X-TN,Sun G5 (Yellow),680
40071732,Malpais,N6NK-J,Sun K3 (Yellow Small),650
40071782,Malpais,TP-APY,Sun K3 (Yellow Small),650
40071796,Malpais,9NI-FW,Sun G5 (Yellow),680
40071825,Malpais,H-EBQG,Sun K7 (Orange),550
40071871,Malpais,DOA-YU,Sun K3 (Yellow Small),650
40071982,Malpais,ZOPZ-6,Sun O1 (Bright Blue),1000
40072021,Malpais,863P-X,Sun A0 (Blue Small),850
40072090,Malpais,ZO-YJZ,Sun M0 (Orange radiant),500
40072170,Malpais,6A-FUY,Sun G3 (Pink Small),740
40072230,Malpais,HG-YEQ,Sun M0 (Orange radiant),500
40072311,Malpais,2FL-5W,Sun B5 (White Dwarf),820
40072428,Malpais,QSCO-D,Sun K3 (Yellow Small),650
40072482,Malpais,RXTY-4,Sun K7 (Orange),550
40072534,Malpais,RSE-PT,Sun G5 (Yellow),680
40072606,Malpais,WVJU-4,Sun K7 (Orange),550
40072650,Malpais,7T-0QS,Sun G5 (Yellow),680
40072692,Malpais,RWML-A,Sun K3 (Yellow Small),650
40072709,Malpais,V-JCJS,Sun O1 (Bright Blue),1000
40072778,Malpais,8C-VE3,Sun G5 (Pink),700
40072835,Malpais,S5W-1Z,Sun G5 (Yellow),680
40072895,Malpais,IL-OL1,Sun G5 (Pink),700
40072992,Malpais,POQP-K,Sun G5 (Pink),700
40073097,Malpais,FO9-FZ,Sun G5 (Yellow),680
40073145,Malpais,4QY-NT,Sun K5 (Orange Bright),620
40073202,Malpais,0-N1BJ,Sun F0 (White),780
40073278,Malpais,T-8GWA,Sun O1 (Bright Blue),1000
40073360,Malpais,UW-6MW,Sun G5 (Pink),700
40073367,Catch,F9E-KX,Sun K5 (Orange Bright),620
40073439,Catch,9KOE-A,Sun K5 (Orange Bright),620
40073509,Catch,U-QVWD,Sun G3 (Pink Small),740
40073646,Catch,B-3QPD,Sun M0 (Orange radiant),500
40073702,Catch,36N-HZ,Sun K3 (Yellow Small),650
40073759,Catch,SV5-8N,Sun M0 (Orange radiant),500
40073796,Catch,HY-RWO,Sun A0 (Blue Small),850
40073810,Catch,WD-VTV,Sun K7 (Orange),550
40073893,Catch,HED-GP,Sun K3 (Yellow Small),650
40073911,Catch,V-3YG7,Sun M0 (Orange radiant),500
40073979,Catch,QSM-LM,Sun K5 (Orange Bright),620
40074030,Catch,KDF-GY,Sun G3 (Pink Small),740
40074044,Catch,QBQ-RF,Sun K5 (Red Giant),580
40074070,Catch,9-8GBA,Sun K3 (Yellow Small),650
40074102,Catch,6-K738,Sun G5 (Yellow),680
40074168,Catch,ZXIC-7,Sun K5 (Orange Bright),620
40074224,Catch,2J-WJY,Sun M0 (Orange radiant),500
40074275,Catch,1P-WGB,Sun G5 (Pink),700
40074380,Catch,F4R2-Q,Sun O1 (Bright Blue),1000
40074413,Catch,K0CN-3,Sun K5 (Orange Bright),620
40074468,Catch,WLAR-J,Sun K5 (Orange Bright),620
40074542,Catch,L7XS-5,Sun K3 (Yellow Small),650
40074580,Catch,VA6-DR,Sun G3 (Pink Small),740
40074638,Catch,S-U2VD,Sun K7 (Orange),550
40074713,Catch,GE-94X,Sun K7 (Orange),550
40074763,Catch,GMLH-K,Sun G5 (Pink),700
40074806,Catch,W9-DID,Sun G5 (Yellow),680
40074896,Catch,KW-I6T,Sun M0 (Orange radiant),500
40074976,Catch,EX-0LQ,Sun K5 (Red Giant),580
40075044,Catch,MB-NKE,Sun A0 (Blue Small),850
40075152,Catch,G-7WUF,Sun G5 (Yellow),680
40075166,Catch,6-MM99,Sun K7 (Orange),550
40075235,Catch,JBY6-F,Sun G5 (Pink),700
40075272,Catch,FZ-6A5,Sun G5 (Yellow),680
40075301,Catch,RNF-YH,Sun G5 (Pink),700
40075406,Catch,I-8D0G,Sun K5 (Orange Bright),620
40075431,Catch,R-K4QY,Sun M0 (Orange radiant),500
40075483,Catch,JWZ2-V,Sun O1 (Bright Blue),1000
40075525,Catch,OGL8-Q,Sun A0 (Blue Small),850
40075614,Catch,GJ0-OJ,Sun G5 (Yellow),680
40075716,Catch,A-803L,Sun K5 (Red Giant),580
40075766,Catch,WQH-4K,Sun G5 (Yellow),680
40075842,Catch,J-ODE7,Sun M0 (Orange radiant),500
40075885,Catch,Q-S7ZD,Sun G5 (Pink),700
40075956,Catch,6X7-JO,Sun M0 (Orange radiant),500
40076014,Catch,GE-8JV,Sun G5 (Pink),700
40076086,Catch,3-OKDA,Sun M0 (Orange radiant),500
40076141,Catch,3GD6-8,Sun F0 (White),780
40076191,Catch,4M-HGL,Sun K7 (Orange),550
40076269,Catch,MY-W1V,Sun K5 (Orange Bright),620
40076345,Catch,AX-DOT,Sun K5 (Orange Bright),620
40076374,Catch,YHN-3K,Sun K3 (Yellow Small),650
40076492,Catch,CB4-Q2,Sun K5 (Red Giant),580
40076553,Catch,CBL-XP,Sun K3 (Yellow Small),650
40076581,Catch,WJ-9YO,Sun K7 (Orange),550
40076619,Catch,UQ-PWD,Sun K3 (Yellow Small),650
40076682,Catch,N-8BZ6,Sun B5 (White Dwarf),820
40076814,Catch,A-VILQ,Sun K7 (Orange),550
40076854,Catch,X3FQ-W,Sun K5 (Red Giant),580
40076912,Catch,3-SFWG,Sun K5 (Orange Bright),620
40076932,Catch,MUXX-4,Sun K5 (Orange Bright),620
40077006,Catch,E1-4YH,Sun G5 (Yellow),680
40077065,Catch,B-XJX4,Sun K7 (Orange),550
40077127,Catch,AOK-WQ,Sun K7 (Orange),550
40077231,Catch,E3-SDZ,Sun G5 (Yellow),680
40077252,Catch,7LHB-Z,Sun K3 (Yellow Small),650
40077271,Catch,8B-2YA,Sun K3 (Yellow Small),650
40077296,Catch,SNFV-I,Sun M0 (Orange radiant),500
40077379,Catch,HP-64T,Sun G3 (Pink Small),740
40077427,Catch,V2-VC2,Sun K5 (Orange Bright),620
40077473,Catch,L-B55M,Sun G3 (Pink Small),740
40077538,Catch,CX65-5,Sun G5 (Pink),700
40077671,Catch,JA-O6J,Sun G5 (Yellow),680
40077780,Catch,ZQ-Z3Y,Sun G5 (Pink),700
40077812,Catch,G-AOTH,Sun G5 (Yellow),680
40077905,Catch,TA3T-3,Sun K5 (Red Giant),580
40077928,Catch,E-YJ8G,Sun M0 (Orange radiant),500
40078015,Catch,J6QB-P,Sun K7 (Orange),550
40078046,Catch,KA6D-K,Sun K5 (Orange Bright),620
40078123,Catch,7MD-S1,Sun M0 (Orange radiant),500
40078188,Catch,ERVK-P,Sun K7 (Orange),550
40078258,Catch,UL-7I8,Sun G5 (Yellow),680
40078320,Catch,BR-N97,Sun G5 (Yellow),680
40078408,Catch,IS-R7P,Sun K7 (Orange),550
40078492,Catch,S25C-K,Sun B0 (Blue),900
40078544,Catch,K717-8,Sun K3 (Yellow Small),650
40078635,Catch,NH-1X6,Sun K5 (Orange Bright),620
40078677,Catch,KH0Z-0,Sun G3 (Pink Small),740
40078749,Catch,5-N2EY,Sun K3 (Yellow Small),650
40078790,Catch,KB-U56,Sun K3 (Yellow Small),650
40078882,Catch,JGW-OT,Sun K3 (Yellow Small),650
40078953,Catch,UCG4-B,Sun B0 (Blue),900
40079041,Catch,BUZ-DB,Sun G3 (Pink Small),740
40079127,Catch,QETZ-W,Sun G3 (Pink Small),740
40079163,Catch,WFC-MY,Sun G3 (Pink Small),740
40079252,Catch,Q-U96U,Sun M0 (Orange radiant),500
40079299,Catch,X4-WL0,Sun K5 (Orange Bright),620
40079379,Catch,W-MPTH,Sun M0 (Orange radiant),500
40079444,Catch,4NBN-9,Sun M0 (Orange radiant),500
40079571,Catch,EX6-AO,Sun A0 (Blue Small),850
40079636,Catch,CZK-ZQ,Sun M0 (Orange radiant),500
40079713,Catch,CNC-4V,Sun O1 (Bright Blue),1000
40079755,Catch,Y-PNRL,Sun K5 (Orange Bright),620
40079788,Catch,FAT-6P,Sun G5 (Yellow),680
40079902,Catch,6BPS-T,Sun K7 (Orange),550
40079965,Catch,25S-6P,Sun K3 (Yellow Small),650
40080050,Catch,RR-D05,Sun K5 (Orange Bright),620
40080127,Catch,4-07MU,Sun M0 (Orange radiant),500
40097124,The Spire,L-WG68,Sun G3 (Pink Small),740
40097220,The Spire,E4-E8W,Sun G5 (Yellow),680
40097250,The Spire,HIK-MC,Sun K7 (Orange),550
40097340,The Spire,B9EA-G,Sun A0 (Blue Small),850
40097383,The Spire,E-BFLT,Sun K7 (Orange),550
40097437,The Spire,GZM-KB,Sun K7 (Orange),550
40097486,The Spire,5LAJ-8,Sun K3 (Yellow Small),650
40097553,The Spire,C6C-K9,Sun K5 (Red Giant),580
40097650,The Spire,AL-JSG,Sun K5 (Red Giant),580
40097676,The Spire,ETO-OT,Sun F0 (White),780
40097787,The Spire,KPI-OW,Sun G3 (Pink Small),740
40097858,The Spire,A-J6SN,Sun B0 (Blue),900
40097941,The Spire,OTJ-4W,Sun K3 (Yellow Small),650
40098076,The Spire,AG-SYG,Sun M0 (Orange radiant),500
40098140,The Spire,1I5-0V,Sun K5 (Red Giant),580
40098238,The Spire,VX1-HV,Sun K3 (Yellow Small),650
40098318,The Spire,JNG7-K,Sun M0 (Orange radiant),500
40098386,The Spire,K-XJJT,Sun F0 (White),780
40098479,The Spire,FO1U-K,Sun B0 (Blue),900
40098579,The Spire,6U-1RX,Sun K5 (Orange Bright),620
40098615,The Spire,Y4OK-W,Sun F0 (White),780
40098684,The Spire,P-NI4K,Sun G5 (Yellow),680
40098772,The Spire,T6T-BQ,Sun K5 (Red Giant),580
40098815,The Spire,N-PS2Y,Sun K7 (Orange),550
40098868,The Spire,K-BBYU,Sun G3 (Pink Small),740
40098971,The Spire,0J-MQW,Sun M0 (Orange radiant),500
40099105,The Spire,XT-1E0,Sun G3 (Pink Small),740
40099175,The Spire,3ET-G8,Sun G5 (Yellow),680
40099188,The Spire,MOSA-I,Sun K7 (Orange),550
40099263,The Spire,B6-XE8,Sun G5 (Yellow),680
40099352,The Spire,JLH-FN,Sun A0 (Blue Small),850
40099405,The Spire,DFTK-D,Sun K7 (Orange),550
40099454,The Spire,4HF-4R,Sun K7 (Orange),550
40099521,The Spire,Y8K-5B,Sun G3 (Pink Small),740
40099648,The Spire,L7-BLT,Sun G5 (Yellow),680
40099747,The Spire,8P-LKL,Sun K3 (Yellow Small),650
40099760,The Spire,Q-UVY6,Sun K5 (Orange Bright),620
40099824,The Spire,RXA-W1,Sun K5 (Orange Bright),620
40099899,The Spire,QFU-4S,Sun B5 (White Dwarf),820
40099941,The Spire,QQGH-G,Sun K7 (Orange),550
40100021,The Spire,VK6-EZ,Sun G5 (Yellow),680
40100123,The Spire,JVA-FE,Sun G3 (Pink Small),740
40100201,The Spire,P65-TA,Sun K5 (Red Giant),580
40100214,The Spire,G-VFVB,Sun K3 (Yellow Small),650
40100286,The Spire,Y4B-BQ,Sun G3 (Pink Small),740
40100361,The Spire,EU-WFW,Sun G5 (Yellow),680
40100447,The Spire,K-YL9T,Sun K7 (Orange),550
40100506,The Spire,GTB-O4,Sun G5 (Yellow),680
40100577,The Spire,6W-6O9,Sun B5 (White Dwarf),820
40100629,The Spire,H4X-0I,Sun G5 (Pink),700
40100684,The Spire,C-BHDN,Sun K3 (Yellow Small),650
40100721,The Spire,R-RE2B,Sun G3 (Pink Small),740
40100773,The Spire,4DH-ST,Sun K5 (Red Giant),580
40100796,The Spire,OSW-0P,Sun K3 (Yellow Small),650
40100852,The Spire,GF-GR7,Sun G3 (Pink Small),740
40100863,The Spire,DVN6-0,Sun G3 (Pink Small),740
40100950,The Spire,Z19-B8,Sun M0 (Orange radiant),500
40101033,The Spire,HPMN-V,Sun M0 (Orange radiant),500
40101061,The Spire,XR-ZL7,Sun K5 (Red Giant),580
40101097,The Spire,U1-VHY,Sun M0 (Orange radiant),500
40101142,The Spire,OTJ9-E,Sun K3 (Yellow Small),650
40101160,The Spire,LH-LY1,Sun O1 (Bright Blue),1000
40101240,The Spire,7-QOYS,Sun K5 (Red Giant),580
40101291,The Spire,KS8G-M,Sun M0 (Orange radiant),500
40101357,The Spire,ZWM-BB,Sun K7 (Orange),550
40101473,The Spire,S-CUEA,Sun K5 (Red Giant),580
40101557,The Spire,L-EUY2,Sun G5 (Pink),700
40101593,The Spire,JL-ZUQ,Sun G5 (Yellow),680
40101661,The Spire,X-KHRZ,Sun K3 (Yellow Small),650
40101721,The Spire,WIW-X8,Sun K5 (Red Giant),580
40101810,The Spire,QRH-BF,Sun K3 (Yellow Small),650
40101843,The Spire,M-NP5O,Sun K5 (Red Giant),580
40111196,Outer Passage,JUE-DX,Sun M0 (Orange radiant),500
40111260,Outer Passage,HLR-GL,Sun K7 (Orange),550
40111350,Outer Passage,80G-H5,Sun K5 (Red Giant),580
40111482,Outer Passage,2EV-BA,Sun B5 (White Dwarf),820
40111593,Outer Passage,M1-PX9,Sun G3 (Pink Small),740
40111660,Outer Passage,W9-TFD,Sun G5 (Yellow),680
40111754,Outer Passage,QHH-13,Sun K5 (Orange Bright),620
40111823,Outer Passage,J4AQ-O,Sun K3 (Yellow Small),650
40111880,Outer Passage,O-O2GN,Sun G5 (Yellow),680
40111977,Outer Passage,I-HRX3,Sun K7 (Orange),550
40112044,Outer Passage,XUPK-Z,Sun K5 (Orange Bright),620
